Time Index	X1 in mm	W1 in mm	Y1 in %	X2 in °C	W2 in °C	Y2 in %	F1 in l/h	T1 in °C	T2 in °C	T3 in °C	Pos in %
03:40.96	257.125000	250.000000	42.331253	26.825266	20.000000	0.000000	205.039993	26.825266	26.257376	25.895987	0.470000
03:41.96	257.000000	250.000000	43.538731	26.825266	20.000000	0.000000	205.039993	26.825266	26.257376	25.947622	0.470000
03:43.20	257.312500	250.000000	45.792706	26.825266	20.000000	0.000000	205.039993	26.825266	26.257376	25.947622	0.470000
03:43.96	257.312500	250.000000	46.346016	26.825266	20.000000	0.000000	205.039993	26.825266	26.257376	25.947622	0.470000
03:44.96	257.625000	250.000000	48.523460	26.825266	20.000000	0.000000	205.039993	26.825266	26.257376	25.947622	0.470000
03:45.96	257.500000	250.000000	49.303871	26.825266	20.000000	0.000000	205.039993	26.825266	26.257376	25.947622	0.470000
03:46.96	257.437500	250.000000	50.325581	26.825266	20.000000	0.000000	205.039993	26.825266	26.257376	25.947622	0.470000
03:47.96	257.187500	250.000000	51.393539	26.876883	20.000000	0.000000	205.039993	26.876883	26.308990	25.947622	0.470000
03:48.96	256.875000	250.000000	51.766777	26.876883	20.000000	0.000000	205.039993	26.876883	26.257376	25.947622	0.470000
03:49.96	256.500000	250.000000	51.980484	26.876883	20.000000	0.000000	205.039993	26.876883	26.257376	25.947622	0.465000
03:50.96	256.250000	250.000000	52.842056	26.876883	20.000000	0.000000	205.039993	26.876883	26.257376	25.947622	0.470000
03:51.96	256.062500	250.000000	53.391972	26.876883	20.000000	0.000000	205.039993	26.876883	26.308990	25.947622	0.470000
03:52.96	255.874985	250.000000	53.902008	26.876883	20.000000	0.000000	205.039993	26.876883	26.308990	25.947622	0.470000
03:53.96	255.124985	250.000000	53.575333	26.876883	20.000000	0.000000	205.039993	26.876883	26.257376	25.947622	0.470000
03:54.96	254.625000	250.000000	53.274288	26.876883	20.000000	0.000000	205.039993	26.876883	26.308990	25.895987	0.470000
03:55.96	254.000015	250.000000	52.672161	26.876883	20.000000	0.000000	205.039993	26.876883	26.257376	25.895987	0.470000
03:56.96	253.375000	250.000000	52.227974	26.876883	20.000000	0.000000	205.039993	26.876883	26.257376	25.895987	0.470000
03:57.96	252.750015	250.000000	51.430920	26.876883	20.000000	0.000000	205.039993	26.876883	26.308990	25.895987	0.470000
03:58.95	251.562500	250.000000	49.385971	26.928497	20.000000	0.000000	205.039993	26.928497	26.257376	25.895987	0.470000
03:59.96	250.562485	250.000000	47.632404	26.928497	20.000000	0.000000	205.039993	26.928497	26.308990	25.895987	0.470000
04:00.96	249.437500	250.000000	45.425564	26.876883	20.000000	0.000000	205.039993	26.876883	26.257376	25.895987	0.470000
04:01.96	248.687500	250.000000	43.822155	26.928497	20.000000	0.000000	205.080002	26.928497	26.257376	25.895987	0.470000
04:02.96	247.562500	250.000000	41.184433	26.876883	20.000000	0.000000	205.039993	26.876883	26.308990	25.895987	0.470000
04:03.96	246.937500	250.000000	39.571274	26.876883	20.000000	0.000000	205.039993	26.876883	26.257376	25.895987	0.470000
04:04.96	246.312500	250.000000	37.852711	26.928497	20.000000	0.000000	205.039993	26.928497	26.308990	25.895987	0.470000
04:05.96	245.687500	250.000000	35.727669	26.928497	20.000000	0.000000	205.039993	26.928497	26.308990	25.895987	0.470000
04:06.96	245.062500	250.000000	33.837837	26.928497	20.000000	0.000000	205.039993	26.928497	26.308990	25.895987	0.470000
04:07.96	244.625000	250.000000	32.206741	26.928497	20.000000	0.000000	205.039993	26.928497	26.308990	25.895987	0.470000
04:08.96	244.312500	250.000000	30.809700	26.928497	20.000000	0.000000	205.039993	26.928497	26.308990	25.895987	0.470000
04:09.96	243.875000	250.000000	28.599579	26.928497	20.000000	0.000000	205.080002	26.928497	26.308990	25.895987	0.470000
04:10.96	243.500000	250.000000	26.957687	26.928497	20.000000	0.000000	205.039993	26.928497	26.308990	25.895987	0.470000
