

Time Index	X1 in mm	W1 in mm	Y1 in %	X2 in °C	W2 in °C	Y2 in %	F1 in l/h	T1 in °C	T2 in °C	T3 in °C	Pos in %	
59:59.97	246.062500	250.000000	0.000000	32.917107	20.000000	0.000000	-12.800000	32.917107	32.555714	27.754526	0.525000	
00:00.22	246.187500	250.000000	0.000000	32.917107	20.000000	0.000000	-12.800000	32.917107	32.555714	27.754526	0.525000	
00:00.47	246.187500	250.000000	0.000000	32.865467	20.000000	0.000000	-12.800000	32.865467	32.555714	27.754526	0.525000	
00:00.72	246.062500	250.000000	0.000000	32.865467	20.000000	0.000000	-12.800000	32.865467	32.504101	27.754526	0.525000	
00:00.97	246.062500	250.000000	0.000000	32.865467	20.000000	0.000000	-12.800000	32.865467	32.504101	27.754526	0.525000	
00:01.22	246.062500	250.000000	0.000000	32.865467	20.000000	0.000000	-12.800000	32.865467	32.504101	27.754526	0.525000	
00:01.47	246.062500	250.000000	0.000000	32.865467	20.000000	0.000000	-12.800000	32.865467	32.504101	27.754526	0.525000	
00:01.72	246.312500	250.000000	0.290214	32.865467	20.000000	0.000000	-12.800000	32.865467	32.504101	27.754526	0.525000	
00:01.97	246.312500	250.000000	0.290214	32.865467	20.000000	0.000000	-12.800000	32.865467	32.504101	27.754526	0.525000	
00:02.22	246.187500	250.000000	0.000000	32.865467	20.000000	0.000000	-12.800000	32.865467	32.504101	27.754526	0.525000	
00:02.47	246.187500	250.000000	0.000000	32.865467	20.000000	0.000000	-12.800000	32.865467	32.504101	27.754526	0.525000	
00:02.72	246.375000	250.000000	0.198057	32.865467	20.000000	0.000000	-12.800000	32.865467	32.555714	27.754526	0.525000	
00:02.97	246.187500	250.000000	0.000000	32.865467	20.000000	0.000000	-12.800000	32.865467	32.555714	27.754526	0.525000	
00:03.22	246.187500	250.000000	0.000000	32.865467	20.000000	0.000000	-12.800000	32.865467	32.504101	27.754526	0.525000	
00:03.47	246.312500	250.000000	0.000000	32.865467	20.000000	0.000000	-12.800000	32.865467	32.504101	27.754526	0.525000	
00:04.47	246.312500	250.000000	0.000000	32.865467	20.000000	0.000000	-12.800000	32.865467	32.504101	27.702892	0.525000	
00:05.47	246.187500	250.000000	0.000000	32.865467	20.000000	0.000000	-12.800000	32.865467	32.504101	27.702892	0.525000	
00:06.47	246.187500	250.000000	0.000000	32.813854	20.000000	0.000000	-12.800000	32.813854	32.504101	27.702892	0.525000	
