Time Index	X1 in mm	W1 in mm	Y1 in %	X2 in °C	W2 in °C	Y2 in %	F1 in l/h	T1 in °C	T2 in °C	T3 in °C	Pos in %
03:40.96	257.125	250	42.331253	26.825266	20	0	205.039993	26.825266	26.257376	25.895987	0.47
03:41.96	257	250	43.538731	26.825266	20	0	205.039993	26.825266	26.257376	25.947622	0.47
03:43.20	257.3125	250	45.792706	26.825266	20	0	205.039993	26.825266	26.257376	25.947622	0.47
03:43.96	257.3125	250	46.346016	26.825266	20	0	205.039993	26.825266	26.257376	25.947622	0.47
03:44.96	257.625	250	48.52346	26.825266	20	0	205.039993	26.825266	26.257376	25.947622	0.47
03:45.96	257.5	250	49.303871	26.825266	20	0	205.039993	26.825266	26.257376	25.947622	0.47
03:46.96	257.4375	250	50.325581	26.825266	20	0	205.039993	26.825266	26.257376	25.947622	0.47
03:47.96	257.1875	250	51.393539	26.876883	20	0	205.039993	26.876883	26.30899	25.947622	0.47
03:48.96	256.875	250	51.766777	26.876883	20	0	205.039993	26.876883	26.257376	25.947622	0.47
03:49.96	256.5	250	51.980484	26.876883	20	0	205.039993	26.876883	26.257376	25.947622	0.465
03:50.96	256.25	250	52.842056	26.876883	20	0	205.039993	26.876883	26.257376	25.947622	0.47
03:51.96	256.0625	250	53.391972	26.876883	20	0	205.039993	26.876883	26.30899	25.947622	0.47
03:52.96	255.874985	250	53.902008	26.876883	20	0	205.039993	26.876883	26.30899	25.947622	0.47
03:53.96	255.124985	250	53.575333	26.876883	20	0	205.039993	26.876883	26.257376	25.947622	0.47
03:54.96	254.625	250	53.274288	26.876883	20	0	205.039993	26.876883	26.30899	25.895987	0.47
03:55.96	254.000015	250	52.672161	26.876883	20	0	205.039993	26.876883	26.257376	25.895987	0.47
03:56.96	253.375	250	52.227974	26.876883	20	0	205.039993	26.876883	26.257376	25.895987	0.47
03:57.96	252.750015	250	51.43092	26.876883	20	0	205.039993	26.876883	26.30899	25.895987	0.47
03:58.95	251.5625	250	49.385971	26.928497	20	0	205.039993	26.928497	26.257376	25.895987	0.47
03:59.96	250.562485	250	47.632404	26.928497	20	0	205.039993	26.928497	26.30899	25.895987	0.47
04:00.96	249.4375	250	45.425564	26.876883	20	0	205.039993	26.876883	26.257376	25.895987	0.47
04:01.96	248.6875	250	43.822155	26.928497	20	0	205.080002	26.928497	26.257376	25.895987	0.47
04:02.96	247.5625	250	41.184433	26.876883	20	0	205.039993	26.876883	26.30899	25.895987	0.47
04:03.96	246.9375	250	39.571274	26.876883	20	0	205.039993	26.876883	26.257376	25.895987	0.47
04:04.96	246.3125	250	37.852711	26.928497	20	0	205.039993	26.928497	26.30899	25.895987	0.47
04:05.96	245.6875	250	35.727669	26.928497	20	0	205.039993	26.928497	26.30899	25.895987	0.47
04:06.96	245.0625	250	33.837837	26.928497	20	0	205.039993	26.928497	26.30899	25.895987	0.47
04:07.96	244.625	250	32.206741	26.928497	20	0	205.039993	26.928497	26.30899	25.895987	0.47
04:08.96	244.3125	250	30.8097	26.928497	20	0	205.039993	26.928497	26.30899	25.895987	0.47
04:09.96	243.875	250	28.599579	26.928497	20	0	205.080002	26.928497	26.30899	25.895987	0.47
04:10.96	243.5	250	26.957687	26.928497	20	0	205.039993	26.928497	26.30899	25.895987	0.47
04:11.96	242	250	23.073349	26.928497	20	0	205.039993	26.928497	26.30899	25.895987	0.47
04:12.96	243.1875	250	23.866596	26.928497	20	0	205.039993	26.928497	26.30899	25.895987	0.47
04:13.96	243.1875	250	22.898781	26.928497	20	0	205.039993	26.928497	26.30899	25.895987	0.47
04:14.96	242.9375	250	20.933384	26.928497	20	0	205.039993	26.928497	26.30899	25.895987	0.47
04:15.96	243.1875	250	20.42028	26.928497	20	0	205.039993	26.928497	26.30899	25.895987	0.47
04:16.96	243.1875	250	19.521969	26.928497	20	0	205.080002	26.928497	26.30899	25.895987	0.47
04:17.96	243.25	250	18.597546	26.928497	20	0	205.039993	26.928497	26.30899	25.895987	0.465
04:18.96	243.1875	250	17.019896	26.928497	20	0	205.039993	26.928497	26.30899	25.895987	0.47
04:19.96	243.375	250	16.446215	26.928497	20	0	205.080002	26.928497	26.30899	25.895987	0.47
04:20.96	243.5625	250	15.90402	26.928497	20	0	205.080002	26.928497	26.30899	25.895987	0.47
04:21.96	244.125	250	15.628109	26.928497	20	0	205.080002	26.928497	26.30899	25.895987	0.47
04:22.96	244	250	14.536083	26.928497	20	0	205.039993	26.928497	26.30899	25.895987	0.47
04:23.96	244.1875	250	14.067991	26.928497	20	0	205.080002	26.928497	26.30899	25.895987	0.465
04:24.96	245.0625	250	14.634905	26.928497	20	0	205.039993	26.928497	26.30899	25.895987	0.47
04:25.96	245.4375	250	14.703497	26.928497	20	0	205.039993	26.928497	26.30899	25.895987	0.47
04:26.96	245.75	250	14.691357	26.928497	20	0	205.080002	26.928497	26.360626	25.895987	0.47
04:27.96	247	250	16.359333	26.928497	20	0	205.039993	26.928497	26.30899	25.895987	0.47
04:28.96	247.875	250	17.69953	26.928497	20	0	205.039993	26.928497	26.360626	25.895987	0.47
04:29.96	248.8125	250	19.314114	26.928497	20	0	205.039993	26.928497	26.360626	25.895987	0.47
04:30.96	250.562485	250	22.664495	26.928497	20	0	205.039993	26.928497	26.360626	25.895987	0.47
04:31.96	251.500015	250	24.640373	26.928497	20	0	205.039993	26.928497	26.360626	25.947622	0.47
04:32.96	252.312515	250	26.516447	26.928497	20	0	205.039993	26.928497	26.360626	25.947622	0.47
04:33.96	253.75	250	30.016705	26.928497	20	0	205.039993	26.928497	26.360626	25.947622	0.47
04:34.96	254.5	250	32.063625	26.928497	20	0	205.039993	26.928497	26.360626	25.947622	0.47
04:35.96	255.124985	250	34.049995	26.928497	20	0	205.080002	26.928497	26.360626	25.947622	0.47
04:36.96	256.25	250	37.511532	26.928497	20	0	205.080002	26.928497	26.360626	25.947622	0.47
04:37.96	256.875	250	39.821541	26.928497	20	0	205.039993	26.928497	26.360626	25.947622	0.47
04:38.96	257.3125	250	41.706947	26.928497	20	0	205.080002	26.928497	26.360626	25.947622	0.47
04:39.96	257.75	250	44.153828	26.928497	20	0	205.080002	26.928497	26.360626	25.947622	0.47
04:40.96	257.75	250	45.286621	26.928497	20	0	205.039993	26.928497	26.360626	25.947622	0.47
04:41.96	258.0625	250	47.580456	26.928497	20	0	205.039993	26.928497	26.360626	26.050875	0.47
04:42.96	258.125	250	48.834164	26.928497	20	0	205.080002	26.928497	26.360626	26.050875	0.47
04:43.96	257.5	250	48.722977	26.928497	20	0	205.039993	26.928497	26.360626	26.050875	0.47
