Time	Temp
00:00.0	14.5
00:00.0	14.5
00:00.0	14.5
00:00.1	14.5
00:00.1	14.5
00:00.1	14.5
00:00.1	14.5
00:00.1	14.5
00:00.2	14.5
00:00.2	14.5
00:00.2	14.5
00:00.2	14.5
00:00.2	14.5
00:00.3	14.5
00:00.3	14.5
00:00.3	14.5
00:00.3	14.5
00:00.3	14.5
00:00.4	14.5
00:00.4	14.5
00:00.4	14.5
00:00.4	14.5
00:00.4	14.5
00:00.5	14.5
00:00.5	14.5
00:00.5	14.5
00:00.5	14.5
00:00.5	14.5
00:00.6	14.5
00:00.6	14.5
00:00.6	14.5
00:00.6	14.5
00:00.6	14.5
00:00.7	14.5
00:00.7	14.5
00:00.7	14.5
00:00.7	14.5
00:00.7	14.5
00:00.8	14.5
00:00.8	14.5
00:00.8	14.5
00:00.8	14.5
00:00.8	14.5
00:00.9	14.5
00:00.9	14.5
00:00.9	14.5
00:00.9	14.5
00:00.9	14.5
00:01.0	14.5
00:01.0	14.5
00:01.0	14.5
00:01.0	14.5
00:01.0	14.5
00:01.1	14.5
00:01.1	14.5
00:01.1	14.5
00:01.1	14.5
00:01.1	14.5
00:01.2	14.5
00:01.2	14.5
00:01.2	14.5
00:01.2	14.5
00:01.2	14.5
00:01.3	14.5
00:01.3	14.5
00:01.3	14.5
00:01.3	14.5
00:01.3	14.5
00:01.4	14.5
00:01.4	14.5
00:01.4	14.5
00:01.4	14.5
00:01.4	14.5
00:01.5	14.5
00:01.5	14.5
00:01.5	14.5
00:01.5	14.5
00:01.5	14.5
00:01.6	14.5
00:01.6	14.5
00:01.6	14.5
00:01.6	14.5
00:01.6	14.5
00:01.7	14.5
00:01.7	14.5
00:01.7	14.5
00:01.7	14.5
00:01.7	14.5
00:01.8	14.5
00:01.8	14.5
00:01.8	14.5
00:01.8	14.5
00:01.8	14.5
00:01.9	14.5
00:01.9	14.5
00:01.9	14.5
00:01.9	14.5
00:01.9	14.5
00:02.0	14.5
00:02.0	14.5
00:02.0	14.5
00:02.0	14.5
00:02.0	14.5
00:02.1	14.5
00:02.1	14.5
00:02.1	14.5
00:02.1	14.5
00:02.1	14.5
00:02.2	14.5
00:02.2	14.5
00:02.2	14.5
00:02.2	14.5
00:02.2	14.5
00:02.3	14.5
00:02.3	14.5
00:02.3	14.5
00:02.3	14.5
00:02.3	14.5
00:02.4	14.5
00:02.4	14.5
00:02.4	14.5
00:02.4	14.5
00:02.4	14.5
00:02.5	14.5
00:02.5	14.5
00:02.5	14.5
00:02.5	14.5
00:02.5	14.5
00:02.6	14.5
00:02.6	14.5
00:02.6	14.5
00:02.6	14.5
00:02.6	14.5
00:02.7	14.5
00:02.7	14.5
00:02.7	14.5
00:02.7	14.5
00:02.7	14.5
00:02.8	14.5
00:02.8	14.5
00:02.8	14.5
00:02.8	14.5
00:02.8	14.5
00:02.9	14.5
00:02.9	14.5
00:02.9	14.5
00:02.9	14.5
00:02.9	14.5
00:03.0	14.5
00:03.0	14.5
00:03.0	14.5
00:03.0	14.5
00:03.0	14.5
00:03.1	14.5
00:03.1	14.5
00:03.1	14.5
00:03.1	14.5
00:03.1	14.5
00:03.2	14.5
00:03.2	14.5
00:03.2	14.5
00:03.2	14.5
00:03.2	14.5
00:03.3	14.5
00:03.3	14.5
00:03.3	14.5
00:03.3	14.5
00:03.3	14.5
00:03.4	14.5
00:03.4	14.5
00:03.4	14.5
00:03.4	14.5
00:03.4	14.5
00:03.5	14.5
00:03.5	14.5
00:03.5	14.5
00:03.5	14.5
00:03.5	14.5
00:03.6	14.5
00:03.6	14.5
00:03.6	14.5
00:03.6	14.5
00:03.6	14.5
00:03.7	14.5
00:03.7	14.5
00:03.7	14.5
00:03.7	14.5
00:03.7	14.5
00:03.8	14.5
00:03.8	14.5
00:03.8	14.5
00:03.8	14.5
00:03.8	14.5
00:03.9	14.5
00:03.9	14.5
00:03.9	14.5
00:03.9	14.5
00:03.9	14.5
00:04.0	14.5
00:04.0	14.5
00:04.0	14.5
00:04.0	14.5
00:04.0	14.5
00:04.1	14.5
00:04.1	14.5
00:04.1	14.5
00:04.1	14.5
00:04.1	14.5
00:04.2	14.5
00:04.2	14.5
00:04.2	14.5
00:04.2	14.5
00:04.2	14.5
00:04.3	14.5
00:04.3	14.5
00:04.3	14.5
00:04.3	14.5
00:04.3	14.5
00:04.4	14.5
00:04.4	14.5
00:04.4	14.5
00:04.4	14.5
00:04.4	14.5
00:04.5	14.5
00:04.5	14.5
00:04.5	14.5
00:04.5	14.5
00:04.5	14.5
00:04.6	14.5
00:04.6	14.5
00:04.6	14.5
00:04.6	14.5
00:04.6	14.5
00:04.7	14.5
00:04.7	14.5
00:04.7	14.5
00:04.7	14.5
00:04.7	14.5
00:04.8	14.5
00:04.8	14.5
00:04.8	14.5
00:04.8	14.5
00:04.8	14.5
00:04.9	14.5
00:04.9	14.5
00:04.9	14.5
00:04.9	14.5
00:04.9	14.5
00:05.0	14.5
00:05.0	14.5
00:05.0	14.5
00:05.0	14.5
00:05.0	14.5
00:05.1	14.5
00:05.1	14.5
00:05.1	14.5
00:05.1	14.5
00:05.1	14.5
00:05.2	14.5
00:05.2	14.5
00:05.2	14.5
00:05.2	14.5
00:05.2	14.5
00:05.3	14.5
00:05.3	14.5
00:05.3	14.5
00:05.3	14.5
00:05.3	14.5
00:05.4	14.5
00:05.4	14.5
00:05.4	14.5
00:05.4	14.5
00:05.4	14.5
00:05.5	14.5
00:05.5	14.5
00:05.5	14.5
00:05.5	14.5
00:05.5	14.5
00:05.6	14.5
00:05.6	14.5
00:05.6	14.5
00:05.6	14.5
00:05.6	14.5
00:05.7	14.5
00:05.7	14.5
00:05.7	14.5
00:05.7	14.5
00:05.7	14.5
00:05.8	14.5
00:05.8	14.5
00:05.8	14.5
00:05.8	14.5
00:05.8	14.5
00:05.9	14.5
