[Connect DataFile][1.0]
Date:	25.9.2018
Time:	16:43:40
Unit:	°C
Resolution:	0,020
Time	TObj	TInt	TExt
00:00:00,000	14,5	26,8	-----	
00:00:00,020	14,5	26,8	-----	
00:00:00,040	14,5	26,8	-----	
00:00:00,060	14,5	26,8	-----	
00:00:00,080	14,5	26,8	-----	
00:00:00,100	14,5	26,8	-----	
00:00:00,120	14,5	26,8	-----	
00:00:00,140	14,5	26,8	-----	
00:00:00,160	14,5	26,8	-----	
00:00:00,180	14,5	26,8	-----	
00:00:00,200	14,5	26,8	-----	
00:00:00,220	14,5	26,8	-----	
00:00:00,240	14,5	26,8	-----	
00:00:00,260	14,5	26,8	-----	
00:00:00,280	14,5	26,8	-----	
00:00:00,300	14,5	26,8	-----	
00:00:00,320	14,5	26,8	-----	
00:00:00,340	14,5	26,8	-----	
00:00:00,360	14,5	26,8	-----	
00:00:00,380	14,5	26,8	-----	
00:00:00,400	14,5	26,8	-----	
00:00:00,420	14,5	26,8	-----	
00:00:00,440	14,5	26,8	-----	
00:00:00,460	14,5	26,8	-----	
00:00:00,480	14,5	26,8	-----	
00:00:00,500	14,5	26,8	-----	
00:00:00,520	14,5	26,8	-----	
00:00:00,540	14,5	26,8	-----	
00:00:00,560	14,5	26,8	-----	
00:00:00,580	14,5	26,8	-----	
00:00:00,600	14,5	26,8	-----	
00:00:00,620	14,5	26,8	-----	
00:00:00,640	14,5	26,8	-----	
00:00:00,660	14,5	26,8	-----	
00:00:00,680	14,5	26,8	-----	
00:00:00,700	14,5	26,8	-----	
00:00:00,720	14,5	26,8	-----	
00:00:00,740	14,5	26,8	-----	
00:00:00,760	14,5	26,8	-----	
00:00:00,780	14,5	26,8	-----	
00:00:00,800	14,5	26,8	-----	
00:00:00,820	14,5	26,8	-----	
00:00:00,840	14,5	26,8	-----	
00:00:00,860	14,5	26,8	-----	
00:00:00,880	14,5	26,8	-----	
00:00:00,900	14,5	26,8	-----	
00:00:00,920	14,5	26,8	-----	
00:00:00,940	14,5	26,8	-----	
00:00:00,960	14,5	26,8	-----	
00:00:00,980	14,5	26,8	-----	
00:00:01,000	14,5	26,8	-----	
00:00:01,020	14,5	26,8	-----	
00:00:01,040	14,5	26,8	-----	
00:00:01,060	14,5	26,8	-----	
00:00:01,080	14,5	26,8	-----	
00:00:01,100	14,5	26,8	-----	
00:00:01,120	14,5	26,8	-----	
00:00:01,140	14,5	26,8	-----	
00:00:01,160	14,5	26,8	-----	
00:00:01,180	14,5	26,8	-----	
00:00:01,200	14,5	26,8	-----	
00:00:01,220	14,5	26,8	-----	
00:00:01,240	14,5	26,8	-----	
00:00:01,260	14,5	26,8	-----	
00:00:01,280	14,5	26,8	-----	
00:00:01,300	14,5	26,8	-----	
00:00:01,320	14,5	26,8	-----	
00:00:01,340	14,5	26,8	-----	
00:00:01,360	14,5	26,8	-----	
00:00:01,380	14,5	26,8	-----	
00:00:01,400	14,5	26,8	-----	
00:00:01,420	14,5	26,8	-----	
00:00:01,440	14,5	26,8	-----	
00:00:01,460	14,5	26,8	-----	
00:00:01,480	14,5	26,8	-----	
00:00:01,500	14,5	26,8	-----	
00:00:01,520	14,5	26,8	-----	
00:00:01,540	14,5	26,8	-----	
00:00:01,560	14,5	26,8	-----	
00:00:01,580	14,5	26,8	-----	
00:00:01,600	14,5	26,8	-----	
00:00:01,620	14,5	26,8	-----	
00:00:01,640	14,5	26,8	-----	
00:00:01,660	14,5	26,8	-----	
00:00:01,680	14,5	26,8	-----	
00:00:01,700	14,5	26,8	-----	
00:00:01,720	14,5	26,8	-----	
00:00:01,740	14,5	26,8	-----	
00:00:01,760	14,5	26,8	-----	
00:00:01,780	14,5	26,8	-----	
00:00:01,800	14,5	26,8	-----	
00:00:01,820	14,5	26,8	-----	
00:00:01,840	14,5	26,8	-----	
00:00:01,860	14,5	26,8	-----	
