Soubor: ;D:\!private\Lord\Git\UCT\Termografie\lab7 IT2\termokamera\IR_3618.jpg

Parametry:;Emisivita:;0,96 
;Odr. tepl.:;25,7 °C
;Vzdálenost:;0,5 m
;Atmosférická teplota:;21,5 °C
;Teplota externí optiky:;20 °C
;Propustnost externí optiky:;1 
;Relativní vlhkost:;45 %
;
Li1

Parametry:;Emisivita:;0,92 
;Odr. tepl.:;25,7 °C
;Vzdálenost:;0,5 m
;
Snímek 1;36,654;40,921;42,471;42,986;42,967;42,901;42,948;43,158;43,281;43,148;43,167;43,215;43,072;43,063;43,196;43,243;43,253;43,424;43,281;43,386;43,424;43,3;43,243;43,243;43,196;43,148;43,101;43,11;43,101;43,015;42,986;43,11;42,977;42,767;42,212;41,183;38,505;

